Netflix_Vol.,Netflix_Price_MA_50,Netflix_Price_EMA_12,Netflix_Price_Volatility_30,Netflix_Price_Lag_7,Netflix_Price_Lag_30,Netflix_Price_BB_Upper,Netflix_Price_BB_Lower,Netflix_Price_RSI_14,Netflix_Price_ROC_10,Natural_Gas_Price,Crude_oil_Price,Copper_Price,Bitcoin_Price,Platinum_Price,Ethereum_Price,S&P_500_Price,Nasdaq_100_Price,Apple_Price,Tesla_Price,Microsoft_Price,Silver_Price,Google_Price,Nvidia_Price,Berkshire_Price,Amazon_Price,Meta_Price,Gold_Price
3620000.0,489.4022,473.3100780963591,0.015298890757785047,473.97,474.67,491.8564514579923,445.5905485420076,63.605823068309135,4.2447544765461975,2.882,77.6,3.8335,37454.1,923.4,2021.49,4547.38,16027.06,191.45,235.6,377.44,23.959,136.25,485.2382,547836.0,146.13,339.97,1990.7
2800000.0,487.37019999999995,472.1716045430731,0.015565181679530943,477.19,470.26,489.3644942720003,446.06150572799976,60.84627745045532,2.6459572593082292,3.131,75.89,3.7345,36595.4,905.0,1960.8,4514.02,15837.99,189.69,234.3,369.85,23.852,135.31,485.2382,544190.0,145.18,335.04,1984.7
3620000.0,485.427,471.3682807672157,0.015556416940403871,479.0,468.5,489.0133973491305,445.9016026508697,63.51962380177249,0.2598016060462838,3.239,72.9,3.7025,36161.2,898.4,1961.76,4508.24,15833.17,189.71,233.59,376.17,23.933,136.93,485.2382,546635.0,142.83,334.19,1987.3
5010000.0,483.4088,469.9177760337979,0.013785913748964231,479.17,486.88,488.724612031181,445.401387968819,63.819734690169,-2.538135325020574,3.362,76.66,3.7185,37874.9,901.25,2058.93,4502.88,15817.18,188.01,242.84,369.67,23.538,134.62,485.2382,542500.0,143.2,332.71,1964.3
4000000.0,480.866,466.6458104901367,0.014526640752488716,479.56,490.51,487.748322184402,443.24467781559804,44.574290484140235,-5.98084620381819,3.106,78.26,3.6835,35549.3,890.7,1979.1,4495.7,15812.47,187.44,237.41,370.27,23.132,133.62,485.2382,537400.0,145.8,336.31,1966.5
2780000.0,478.35,463.25722426088487,0.014530128288221561,478.0,491.79,488.70277207373016,440.4522279262698,42.59731971920869,-7.177453027139869,3.197,78.26,3.666,36478.3,863.6,2054.18,4411.55,15482.79,184.8,223.71,366.68,22.358,132.09,485.2382,531288.0,142.59,329.19,1950.2
4440000.0,476.05480000000006,460.7930359130564,0.014622181111199596,474.95,491.19,489.2234563985751,438.6665436014249,32.69734380845489,-6.663605818394302,3.033,77.17,3.587,37303.0,845.6,2077.78,4415.24,15529.12,186.4,214.65,369.67,22.281,132.59,483.35,531886.0,143.56,328.77,1937.7
2700000.0,473.8604,456.84795346489386,0.015234242734595513,474.47,486.76,491.087160965504,434.9418390344959,16.137473831123444,-9.260572191175253,3.041,75.74,3.6405,36700.5,864.3,2120.16,4347.35,15187.9,182.41,209.98,360.69,22.905,130.24,469.5,528225.0,140.6,320.55,1969.8
2381000.0,472.7496,453.7405760087563,0.015079602658715623,465.91,491.61,492.3532658979109,432.14073410208914,13.543165467625855,-8.650627615062767,3.106,75.33,3.638,35636.9,871.5,1889.29,4382.78,15313.24,182.89,222.11,363.2,22.728,131.84,465.74,526660.0,142.08,319.78,1957.8
3240000.0,471.7276,450.79741046894765,0.01507942492760348,466.95,489.27,493.4993086080906,429.78269139190934,10.245387784345297,-8.493525634277288,3.14,77.37,3.679,35426.1,898.55,1885.97,4378.38,15296.02,181.82,222.18,360.53,22.589,130.97,459.55,525280.0,142.71,318.82,1973.5
2890000.0,470.7634,448.3270396275711,0.0148139512237117,461.94,495.02,494.5917680301879,426.6492319698121,10.181036027961923,-8.373553649335053,3.264,80.82,3.719,35042.0,917.6,1900.98,4365.98,15154.93,179.23,219.27,356.53,23.234,130.25,457.51,526450.0,139.74,315.8,1988.6
3670000.0,469.7044,445.87057199256014,0.014587429492318331,448.65,486.12,495.7069175579908,423.3800824420091,9.155417099342287,-7.200961559099395,3.515,80.51,3.6815,34718.7,940.95,1832.29,4358.34,15099.49,176.65,219.96,352.8,23.285,129.1,450.05,533815.0,138.6,314.6,1999.2
