Silver_Vol.,Silver_Price_MA_50,Silver_Price_EMA_12,Silver_Price_Volatility_30,Silver_Price_Lag_7,Silver_Price_Lag_30,Silver_Price_BB_Upper,Silver_Price_BB_Lower,Silver_Price_RSI_14,Silver_Price_ROC_10,Natural_Gas_Price,Crude_oil_Price,Copper_Price,Bitcoin_Price,Platinum_Price,Ethereum_Price,S&P_500_Price,Nasdaq_100_Price,Apple_Price,Tesla_Price,Microsoft_Price,Google_Price,Nvidia_Price,Berkshire_Price,Netflix_Price,Amazon_Price,Meta_Price,Gold_Price
15880.0,23.75188,24.50803794566224,0.018520624063106103,25.66,23.187,26.06843017861938,22.617869821380623,58.880346934752616,-2.3914283386295088,2.882,77.6,3.8335,37454.1,923.4,2021.49,4547.38,16027.06,191.45,235.6,377.44,136.25,485.2382,547836.0,474.47,146.13,339.97,1990.7
54400.0,23.764200000000002,24.407109030944973,0.0185447441284962,25.443,23.157,26.06676164072134,22.594038359278663,55.80411124546555,-4.235757016099894,3.131,75.89,3.7345,36595.4,905.0,1960.8,4514.02,15837.99,189.69,234.3,369.85,135.31,485.2382,544190.0,465.91,145.18,335.04,1984.7
83270.0,23.77948,24.334169180030365,0.017462052525882357,25.302,23.953,26.063234867638634,22.575465132361366,48.52112676056336,-7.440925087983907,3.239,72.9,3.7025,36161.2,898.4,1961.76,4508.24,15833.17,189.71,233.59,376.17,136.93,485.2382,546635.0,466.95,142.83,334.19,1987.3
72280.0,23.78574,24.21168161387185,0.017712432575118196,25.038,24.025,26.054914474809408,22.498985525190598,42.309407044137295,-8.269680436477012,3.362,76.66,3.7185,37874.9,901.25,2058.93,4502.88,15817.18,188.01,242.84,369.67,134.62,485.2382,542500.0,461.94,143.2,332.71,1964.3
76300.0,23.785700000000002,24.04557675019926,0.017733730812048536,24.692,24.372,26.03380937151832,22.541190628481683,34.543069523393086,-9.083048382659275,3.106,78.26,3.6835,35549.3,890.7,1979.1,4495.7,15812.47,187.44,237.41,370.27,133.62,485.2382,537400.0,448.65,145.8,336.31,1966.5
64070.0,23.7777,23.785949557860913,0.018554808208698537,24.033,24.57,26.12234239179426,22.386857608205748,24.443553238419867,-11.635443838431737,3.197,78.26,3.666,36478.3,863.6,2054.18,4411.55,15482.79,184.8,223.71,366.68,132.09,485.2382,531288.0,444.62,142.59,329.19,1950.2
63950.0,23.767039999999998,23.55441885665154,0.01853890114140784,24.221,24.396,26.215921137414853,22.215578862585147,6.538648517258096,-11.011262880421768,3.033,77.17,3.587,37303.0,845.6,2077.78,4415.24,15529.12,186.4,214.65,369.67,132.59,483.35,531886.0,447.24,143.56,328.77,1937.7
74590.0,23.769759999999998,23.454508263320534,0.019305825299522267,23.959,24.565,26.240484517890913,22.153915482109092,19.665271966527214,-7.237161833792316,3.041,75.74,3.6405,36700.5,864.3,2120.16,4347.35,15187.9,182.41,209.98,360.69,130.24,469.5,528225.0,435.15,140.6,320.55,1969.8
66630.0,23.777239999999995,23.34273776127122,0.019323615211249572,23.852,24.585,26.27698967734056,21.98431032265944,19.8400355476561,-5.430033703657466,3.106,75.33,3.638,35636.9,871.5,1889.29,4382.78,15313.24,182.89,222.11,363.2,131.84,465.74,526660.0,436.65,142.08,319.78,1957.8
79030.0,23.785359999999997,23.226778105691032,0.019317297093216338,23.933,24.631,26.301888066531053,21.795511933468948,19.848855301178034,-6.737954667437352,3.14,77.37,3.679,35426.1,898.55,1885.97,4378.38,15296.02,181.82,222.18,360.53,130.97,459.55,525280.0,434.61,142.71,318.82,1973.5
41670.0,23.79802,23.22788916635395,0.02003800416468926,23.538,24.321,26.251669212892622,21.71453078710738,31.516393442622984,-3.0260027547059476,3.264,80.82,3.719,35042.0,917.6,1900.98,4365.98,15154.93,179.23,219.27,356.53,130.25,457.51,526450.0,434.74,139.74,315.8,1988.6
76960.0,23.809739999999998,23.236675448453344,0.01999713851707478,23.132,24.107,26.147352533567958,21.656647466432045,34.65648854961833,-2.3771591480798215,3.515,80.51,3.6815,34718.7,940.95,1832.29,4358.34,15099.49,176.65,219.96,352.8,129.1,450.05,533815.0,432.36,138.6,314.6,1999.2
45120.0,23.815479999999997,23.176571533306678,0.020251796276968992,22.358,24.154,25.843411705898887,21.65948829410111,36.40320733104238,-4.541845986712911,3.472,82.46,3.6725,34931.4,930.6,1800.27,4317.78,14919.54,177.57,218.51,348.32,127.49,435.06,530340.0,424.71,138.07,310.87,1993.5
54800.0,23.81162,23.117098989721036,0.020139974101716196,22.281,24.386,25.535993510646836,21.67990648935316,33.097094259390516,-3.177840088367745,3.494,80.44,3.649,35423.8,934.9,1846.6,4237.86,14664.91,173.97,205.66,346.07,126.45,423.25,523749.0,420.19,137.0,311.85,1987.5
54680.0,23.8063,23.09169914514857,0.016948444507434057,22.905,22.921,25.225149199421146,21.741650800578853,37.817565932736564,-0.7781428324399098,3.575,81.02,3.649,34650.6,944.9,1815.13,4193.8,14409.78,170.77,200.84,338.11,124.08,407.8,517825.0,411.69,133.09,301.27,1994.3
60080.0,23.82232,23.138514661279558,0.017294619284225425,22.728,23.016,24.90493325246695,21.871266747533053,44.899328859060425,4.6426335092584425,3.352,82.31,3.6585,34477.9,939.9,1809.05,4166.82,14335.51,170.29,197.36,337.31,124.46,411.61,513065.0,410.08,132.71,302.66,2005.6
111.00000000000001,23.81868,23.082435482621165,0.017994039840464746,22.589,23.058,24.598959451678407,21.95084054832159,38.435442027539445,2.212647547237556,3.164,85.54,3.646,33901.8,901.5,1779.54,4117.37,14180.42,168.22,207.3,329.81,122.17,405.0,503375.0,397.87,127.74,296.73,1989.0
111.00000000000001,23.812759999999997,23.038214639140985,0.017902444842778534,23.234,23.276,24.338050540859786,22.022049459140216,41.98835453957303,-0.4802444881030321,3.214,83.21,3.5845,34153.7,909.0,1803.13,4137.23,14109.57,166.89,205.76,327.89,122.28,403.26,510125.0,403.54,119.57,288.35,1987.9
111.00000000000001,23.80446,23.01618161773468,0.016735085975685463,23.285,24.059,24.214606057895033,22.031693942104972,47.26391133687369,0.734776487152411,3.01,85.39,3.591,34496.8,912.4,1787.0,4186.77,14381.64,171.1,212.42,340.67,125.61,417.79,512400.0,411.25,121.39,299.53,1985.5
111.00000000000001,23.79814,23.013538291929347,0.016697499542201198,22.846,24.228,24.023850608507963,22.100249391492042,58.7544386779568,1.815042719907911,2.971,83.74,3.624,33917.0,891.9,1784.88,4247.68,14745.86,173.44,216.52,330.53,138.81,436.63,516250.0,413.73,128.56,312.55,1976.8
111.00000000000001,23.796300000000002,23.026070862401752,0.016504162748015073,22.79,24.546,23.883753834021576,22.153946165978425,61.059782608695635,-0.5982611689765105,2.926,85.49,3.5865,33041.8,905.0,1763.75,4217.04,14604.85,173.0,212.08,329.32,136.5,429.75,512500.0,406.84,126.56,314.01,1978.2
